ranking,rank,team,value,points,goal_difference,advanced_flag,notes
biggest_overperformers_relative_to_value,5,France,2.2215895652782436,9,8,True,Actual points minus expected points from log total XI value.
biggest_overperformers_relative_to_value,6,Switzerland,2.1318155827656824,7,4,True,Actual points minus expected points from log total XI value.
biggest_overperformers_relative_to_value,7,Cabo Verde,2.075912667029897,3,0,True,Actual points minus expected points from log total XI value.
biggest_overperformers_relative_to_value,8,Colombia,1.9952539894054198,7,3,True,Actual points minus expected points from log total XI value.
biggest_overperformers_relative_to_value,9,Morocco,1.4534101416972085,7,3,True,Actual points minus expected points from log total XI value.
biggest_overperformers_relative_to_value,10,USA,1.0298523350689983,6,4,True,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,1,Uzbekistan,-3.4913882812712522,0,-9,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,2,Uruguay,-3.254924690176118,2,-1,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,3,Czechia,-3.1746269712965542,1,-4,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,4,Tunisia,-2.826130458177868,0,-10,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,5,Türkiye,-2.6163634485690395,3,-2,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,6,Haiti,-2.4299720354730674,0,-6,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,7,Senegal,-2.1407860714579847,3,2,True,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,8,Panama,-1.8282640071486078,0,-4,False,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,9,Ecuador,-1.5701265796983357,4,0,True,Actual points minus expected points from log total XI value.
biggest_underperformers_relative_to_value,10,Sweden,-1.5425597040315573,4,0,True,Actual points minus expected points from log total XI value.
